dyPerOne,dy,poolb0,poolb1
987798128191330017,987886374810641070360,236788563456770840676880,406301786005592464122526
987620514449072655,987709527363112013045,235800656308453874499767,407301786005592464122526
987441344491798179,987531138673645607270,234812927584518389427590,408301786005592464122526
987260587972243402,987351178651360733197,233825378856611596249269,409301786005592464122526
987078214020226142,987169616688817174641,232838011726994269907527,410301786005592464122526
986894191229673718,986986421649201851104,231850827829070228280143,411301786005592464122526
986708487645328384,986801561853196707588,230863828827928945698865,412301786005592464122526
986521070749119919,986615005065518688305,229877016420901629187694,413301786005592464122526
986331907446195435,986426718481121923903,228890392338131095274611,414301786005592464122526
986140964050595989,986236668711051955146,227903958343155795409911,415301786005592464122526
985948206270569391,986044821767941498778,226917716233508348520678,416301786005592464122526
985753599193508213,985851143051136933283,225931667841328950055396,417301786005592464122526
985557107270501627,985655597331444343003,224945815033994038036455,418301786005592464122526
985358694300489448,985458148735483608105,223960159714760608153119,419301786005592464122525
985158323414006238,985258760729638665093,222974703823426581805220,420301786005592464122525
984955957056503108,985057396103591687074,221989449337007643261066,421301786005592464122525
984751556971234314,984854016953428544921,221004398270430974734444,422301786005592464122525
984545084181695451,984648584664302508820,220019552677246331228724,423301786005592464122525
984336498973599552,984441059892642734529,219034914650354910454433,424301786005592464122525
984125760876376977,984231402547893649077,218050486322756487014710,425301786005592464122525
983912828644184567,984019571773770906456,217066269868315294385384,426301786005592464122525
983697660236409017,983805525929019124332,216082267502545153008327,427301786005592464122525
983480212797648959,983589222567656137690,215098481483414358083895,428301786005592464122525
983260442637159751,983370618418688013719,214114914112170856407109,429301786005592464122525
983038305207744474,983149669365278563994,213131567734188257859409,430301786005592464122525
982813755084074023,982926330423356564269,212148444739833243960894,431301786005592464122525
982586745940418732,982700555719643348378,211165547565354953224892,432301786005592464122525
982357230527773324,982472298469082880505,210182878693796940956056,433301786005592464122525
982125160650356421,982241510951655828413,209200440655932329614272,434301786005592464122525
981890487141465222,982008144488558558822,208218236031222784949296,435301786005592464122525
981653159838665320,981772149417727354065,207236267448801972815849,436301786005592464122525
981413127558295011,981533475068687505994,206254537588484171927001,437301786005592464122524
981170338069262724,981292069736706277877,205273049181798738817136,438301786005592464122524
980924738066115526,981047880656228037276,204291805013051142987136,439301786005592464122524
980676273141355944,980800853973569151630,203310807920411312617189,440301786005592464122524
980424887756983554,980550934718849502939,202330060797030054380857,441301786005592464122524
980170525215237088,980298066777136717606,201349566592184334802764,442301786005592464122524
979913127628511916,980042192858778421455,200369328312452235297192,443301786005592464122524
979652635888427038,979783254468897017262,199389349022918418532628,444301786005592464122524
979388989634014760,979521191876020642177,198409631848410970115213,445301786005592464122524
979122127219005449,979255944079823093965,197430179974770506800541,446301786005592464122524
978851985678178753,978987448777944617629,196450996650152470557339,447301786005592464122524
978578500692751818,978715642331864516340,195472085186363556848419,448301786005592464122524
978301606554773992,978440459731795592109,194493448960233255494888,449301786005592464122524
978021236130496516,978161834560569431178,193515091415021513480791,450301786005592464122524
977737320822684705,977879698956480525748,192537016061863561070184,451301786005592464122524
977449790531838980,977593983575056166537,191559226481252975680725,452301786005592464122524
977158573616290050,977304617549717948609,190581726324564092122283,453301786005592464122524
976863596851132376,977011528451299605130,189604519315614903101466,454301786005592464122524
976564785385958888,976714642246384718996,188627609252271630350314,455301786005592464122523
976262062701358652,976413883254426659772,187651000008096184397493,456301786005592464122523
975955350564138005,976109174103611851989,186674695534037769902077,457301786005592464122523
975644568981224290,975800435685426199484,185698699860169933653334,458301786005592464122523
975329636152210035,975487587107883168226,184723017097474393845819,459301786005592464122523
975010468420494016,975170545647370665791,183747651439673032109467,460301786005592464122523
974686980222974219,974849226699072448409,182772607165109474052325,461301786005592464122523
974359084038246223,974523543725918335168,181797888638681729803125,462301786005592464122523
974026690333259045,974193408206016012619,180823500313827413267095,463301786005592464122523
973689707508378889,973858729578515670691,179849446734563107577263,464301786005592464122523
